Title,Image URL,Collection Name,Number,Price
BC #088,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19449/38cce36d7d7defc5f9eecfc78293c656612db309a10e7e5487f0bea75819bc5b.png",Brains Club,88/300,ᕫ 350
BC #021,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19382/c12447df47910b22898882029207a3aa739c9170e80c1545ca986d01b98c652c.png",Brains Club,21/300,ᕫ 175
BC #079,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19440/f6d38fe60d4087f1bc107e85cb419c8ac5d3985b824f5b3adc972986fc12d208.png",Brains Club,79/300,ᕫ 1000
Cyclops AI Edition,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1853/square.png",Agora Hero,145/550,ᕫ 2699
BC #153,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19514/e443c13aac89857816b76e09209502ae4c5aa38080e310eb42e031136155f4c8.png",Brains Club,153/300,ᕫ 250
BC #062,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19423/f694c19cf57731a469d25ff88fbe4b477ae31c9c3645bada89f9105f83412ada.png",Brains Club,62/300,ᕫ 420
BC #232,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19593/4dcae4d54a499041fcf0c37a0b9e2b7b7c1c8037718b47d9dc5ab8fb80c2c060.png",Brains Club,232/300,ᕫ 1490
BC #034,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19395/e269303699ea08fbbdfea5dbde1d2562e10d45826572f112f15a07ba94665091.png",Brains Club,34/300,ᕫ 1000
BC #285,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19646/5d9161d48a67d5afab345af282c75b61d5e55944c5b00fe81e44818121d5fe6d.png",Brains Club,285/300,ᕫ 1999
BC #149,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19510/e474dc9249ff347c4e886fb7172199ca8fb18c86e6443533c9906b9e49962a97.png",Brains Club,149/300,ᕫ 349
BC #229,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19590/00d1270618d74e41fe2cbf6eb7e62f379f0419a2f9955d815adad08faab90d65.png",Brains Club,229/300,ᕫ 499
BC #105,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19466/35c07c78fc62fe1dd2ccc768ccd64227c2b17dde81b3df0de372d11d8d95b64e.png",Brains Club,105/300,ᕫ 499
BC #043,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19404/258c7cf725c61d250b31940e1b77faf65b780ab0cbf1bcd8585662e501df9c90.png",Brains Club,43/300,ᕫ 499
BC #038,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19399/0ecf7b4c3a08bdff0c21c3dee6506220ec39b7cec173126089a553bff687d60b.png",Brains Club,38/300,ᕫ 450
BC #023,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19384/23502ccda7fb4353311fad09ad48ce62c9ba61409bd01a9fc9438c7a6ade7729.png",Brains Club,23/300,ᕫ 3000
BC #288,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19649/6041ec1f2cc1a54b518f1ee3687becc5a7555fa5ef1132434f55f31727bdaeb3.png",Brains Club,288/300,ᕫ 399
BC #296,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19657/132a07ec6858b8784b0ee44c2f363e2d2fb2b85bc4d8e1980a38aca9f0ff4d02.png",Brains Club,296/300,ᕫ 1000
BC #172,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19533/99b2d4e125a157b659d7879143e1b028b5578e195f3504bca6e3c63db39cafef.png",Brains Club,172/300,ᕫ 499
BC #167,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19528/2f8270e65666400bdf7efff82d07d646cbcf71d6d1adf9ecd48e72918f03c7cf.png",Brains Club,167/300,ᕫ 998
BC #122,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19483/497583cb7fd3d2cb441ee3776dd189ab803613867a92f751bc0b077305e3defd.png",Brains Club,122/300,ᕫ 990
BC #171,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19532/dedb6d86409676bb653330a612bd4d549168e35a59159acc4f17bbe2999384d5.png",Brains Club,171/300,ᕫ 900
BC #233,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19594/ca1ecc891e93b76694845c6487ff8182cfa0284810856b3aea86c5471bbfd1aa.png",Brains Club,233/300,ᕫ 800
BC #132,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19493/c890bdb378ae2dfcfb0691295637498ec79e2007f933bd737069d2f42022385e.png",Brains Club,132/300,ᕫ 2000
BC #257,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19618/2825c9b965f56b15ddbe28a2349ef79977296eea352dee6933346f963f4f78e6.png",Brains Club,257/300,ᕫ 700
BC #279,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19640/4bbb2384030d2c11c3d5d126fa44b7f546835e1892436b7fe197ac0993ea33b2.png",Brains Club,279/300,ᕫ 550
BC #277,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19638/c4ed3fe330b602c8ddced01002881c1d3abc6ec88ebeb59ea673663c6991362b.png",Brains Club,277/300,ᕫ 999
BC #084,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19445/9e47a559e83378ca1e8bbde2b8ee31a093a99d314450c6304a30e37bf53c9bf1.png",Brains Club,84/300,ᕫ 1500
BC #019,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19380/a57be1da27206ba207da19453784e05dd24be5786a7257fb312f934399b7bd11.png",Brains Club,19/300,ᕫ 1200
BC #143,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19504/a6ff7d8265e61c7711054bbc286f05646f41684aac08ae9b0240d2aebb710eee.png",Brains Club,143/300,ᕫ 8888
BC #058,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19419/fdec717f5e0714e22d5da88a421354e04618993ecb20d7faa7f2e996ccde42d6.png",Brains Club,58/300,ᕫ 600
BC #109,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19470/2f32b4742134a14b0feab9443b0b7a5fd61af4e6b01288968c9a6ce6f494e30d.png",Brains Club,109/300,ᕫ 12000
BC #134,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19495/1fc99aaa1f6e66beec50c16d9f741dafaf8d56c2e52b918878a39751b91946f9.png",Brains Club,134/300,ᕫ 198
BC #189,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19550/8b75d0a8ab6d1158f54151b101125250cb44ce359883fe0b97d60b5ae64c8d74.png",Brains Club,189/300,ᕫ 499
BC #205,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19566/ae6fa624a56a7a679e8954ad616fbaee314957eda45ba5fd1fda466b886dc196.png",Brains Club,205/300,ᕫ 10000
BC #074,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19435/2563326d9fbca5a56dab8d6548b8b8bef68ff72dc60d7004eef6ea4a275a2c20.png",Brains Club,74/300,ᕫ 150
Access Pass #1,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/632/square.png",Ultra Retro Club,11/100,ᕫ 199
BC #036,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19397/0f9943f833f660a7a31421d9f329cf1c3c969a7995f032faa3590d3fd7235e72.png",Brains Club,36/300,ᕫ 300
BC #113,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19474/b50f443ce075666f18cc72b10a8b7ee2907f9f176d8be47891bd2fb67f5be2c9.png",Brains Club,113/300,ᕫ 300
BC #204,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19565/9936e5ba2a2d04bd504da55ff5d3e70b93f405116e8c16a749e679c5096e9c0c.png",Brains Club,204/300,ᕫ 499
BC #206,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19567/d5fd1702da197e49d1dd1f9285d14d2da1cb3ea44c048dcd502e5388f51c1b44.png",Brains Club,206/300,ᕫ 299
BC #001,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19362/bc08f22b6d26d8ae1694c932982fd05b53a06980244aacae8d3ce13e9e7d78f1.png",Brains Club,1/300,ᕫ 7777
BC #110,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19471/ca6141d1955ce7c1e0ba8e60c59a88e2f99b8fd0f64819b7eade9f785f5d1763.png",Brains Club,110/300,ᕫ 600
BC #250,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19611/bf7abc831332b4c0683ded14593ca1884e3aeac5f0cf1e4191637dc9a5c0b663.png",Brains Club,250/300,ᕫ 500
BC #082,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//token/19443/d8a8642d0a7f2b60a81b66d4e9093ed3cb35a53a9ecb54550ab0048fb74fb7f3.png",Brains Club,82/300,ᕫ 500
Cyclops Hammer,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1854/square.png",Agora Weapons,36/100,ᕫ 3499
Mace Silver,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1863/square.png",Gladiator's Arena,1/1,ᕫ 999
Spear Gold,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1871/square.png",Gladiator's Arena,1/1,ᕫ 4900
Last Call,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1431/square.png",Ultra Games Closed Beta,274/300,ᕫ 100
Soldier Alpha Droid Lvl 2,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/22/Soldier_Alpha_Droid_Lvl_2_Square_Image.png",Alpha DroidZ,94/600,ᕫ 50
All Aboard,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1519/square.png",No More Soon,670/,ᕫ 555
Cyclops AI Edition,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1853/square.png",Agora Hero,33/550,ᕫ 3495
Cyclops AI Edition,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1853/square.png",Agora Hero,17/550,ᕫ 2998
Cyclops AI Edition,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1853/square.png",Agora Hero,2/550,ᕫ 2750
Cyclops AI Edition,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1853/square.png",Agora Hero,144/550,ᕫ 2800
Cyclops Hammer,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1854/square.png",Agora Weapons,34/100,ᕫ 2800
Dual Swords Gold,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1878/square.png",Gladiator's Arena,2/3,ᕫ 2500
Romulus,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1403/square.PNG",Infinity Pets,114/150,ᕫ 616
Cyclops AI Edition,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1853/square.png",Agora Hero,15/550,ᕫ 3498
Cyclops AI Edition,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1853/square.png",Agora Hero,18/550,ᕫ 3498
Booster Ready,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1714/square.png",No More Soon,373/613,ᕫ 649
Booster Ready,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1714/square.png",No More Soon,384/613,ᕫ 649
A Gladiator'S Pride,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1858/square.png",Gladiator's Arena,208/250,ᕫ 1000
Test CTG,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1728/square.png",CTG Tournament,108/1000,ᕫ 299
A Gladiator'S Pride,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1858/square.png",Gladiator's Arena,207/250,ᕫ 1000000
Booster Ready,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1714/square.png",No More Soon,59/613,ᕫ 399
Cyclops AI Edition,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1853/square.png",Agora Hero,178/550,ᕫ 3499
Booster Ready,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1714/square.png",No More Soon,197/613,ᕫ 1000
A Gladiator'S Pride,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1858/square.png",Gladiator's Arena,209/250,ᕫ 850
Galaxy Droid #099,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/381/square.png",Galaxy Droidz,1/1,ᕫ 50000
A Gladiator'S Pride,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1858/square.png",Gladiator's Arena,205/250,ᕫ 99
Galaxy Droid #365,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/603/square.png",Galaxy Droidz,1/1,ᕫ 1599
Common Keycard,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/391/square.png",Elarium Keycards,94/100,ᕫ 3000
A Gladiator'S Pride,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1858/square.png",Gladiator's Arena,163/250,ᕫ 30
A Gladiator'S Pride,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1858/square.png",Gladiator's Arena,190/250,ᕫ 45
Dagger Bronze,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1868/square.png",Gladiator's Arena,1/1,ᕫ 10000
AstroMust Skin #27,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1757/square.png",M.U.S.T. Collection,1/1,ᕫ 1250
Ultra Goblin,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1717/square.png",Lords of Goblin Town,40/51,ᕫ 2900
Remus,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1404/square.PNG",Infinity Pets,48/150,ᕫ 425
11111100111,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1405/square.png",Ultra New Year,436/1500,ᕫ 99
Ultra Power #5,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/23/square.jpg",Ultra's Power Collection,5/10,ᕫ 60000
A Gladiator'S Pride,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1858/square.png",Gladiator's Arena,159/250,ᕫ 45
Gold AR-15,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1720/square.png",Lords of Goblin Town,2/10,ᕫ 5670
A Gladiator'S Pride,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1858/square.png",Gladiator's Arena,187/250,ᕫ 50
Fire Soul,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/33/square.png",Elemental Souls,25/100,ᕫ 2500
Ultra Power #12,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/39/square.png",Ultra's Power Collection,6/52,ᕫ 2950
Hydra Dagger,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1848/square.png",Agora Genesis,36/80,ᕫ 1000
Hydra,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1427/square.jpg",Agora Genesis,43/130,ᕫ 10000
Ultra Power #6,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/43/square.png",Ultra's Power Collection,29/52,ᕫ 10770
Cyclops Hammer,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1854/square.png",Agora Weapons,60/100,ᕫ 2850
Slay Clause,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1396/square.png",Silent Night,68/70,ᕫ 250
Metal Soul,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/35/square.png",Elemental Souls,54/100,ᕫ 900
Water Soul,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/37/square.png",Elemental Souls,42/100,ᕫ 600
Earth Soul,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/32/square.png",Elemental Souls,95/100,ᕫ 600
Fire Soul,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/33/square.png",Elemental Souls,74/100,ᕫ 1300
Lightning Soul,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/34/square.png",Elemental Souls,38/100,ᕫ 2300
Collective Soul,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/379/square.png",Elemental Souls,20/62,ᕫ 6300
Wood Soul,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/36/square.png",Elemental Souls,53/100,ᕫ 3000
Uncommon Keycard,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/392/square.png",Elarium Keycards,18/80,ᕫ 475
Monster - Jack Hell,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/557/square.jpg",Koakuma - Summon of The Highlord,9/60,ᕫ 180
Holly Valkyrie,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1389/square.png",Silent Night,22/70,ᕫ 199
Holly Valkyrie,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1389/square.png",Silent Night,14/70,ᕫ 230
Holly Thunder,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1384/square.png",Silent Night,19/70,ᕫ 115
Holly Thunder,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1384/square.png",Silent Night,11/70,ᕫ 150
Holly Madonna,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1386/square.png",Silent Night,55/70,ᕫ 250
Holly Madonna,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1386/square.png",Silent Night,24/70,ᕫ 230
Holly Elf,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1385/square.png",Silent Night,15/70,ᕫ 120
Common Keycard,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/391/square.png",Elarium Keycards,23/100,ᕫ 350
11111100111,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1405/square.png",Ultra New Year,1355/1500,ᕫ 43
11111100111,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1405/square.png",Ultra New Year,155/1500,ᕫ 41
Shield Bronze,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1857/square.png",Gladiator's Arena,1/1,ᕫ 4500
LETSGOO,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/8/letsgoo_square_image.png",Welcome to the Ultraverse,39/110,ᕫ 2400
All Aboard,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1519/square.png",No More Soon,814/,ᕫ 50000
A Gladiator'S Pride,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1858/square.png",Gladiator's Arena,133/250,ᕫ 125
A Gladiator'S Pride,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1858/square.png",Gladiator's Arena,117/250,ᕫ 200
11111100111,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1405/square.png",Ultra New Year,1136/1500,ᕫ 45
Shield Gold,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1855/square.png",Gladiator's Arena,1/1,ᕫ 8000
Galaxy Droid #212,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1620/square.png",Galaxy Droidz,1/1,ᕫ 50000
Hydra Dagger,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1848/square.png",Agora Genesis,53/80,ᕫ 1250
Power Up,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/11/power_up_square_image.png",Welcome to the Ultraverse,4/40,ᕫ 10000
"Ready, Set, Go!","https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/6/ready_set_go_square_image.png",Welcome to the Ultraverse,10/40,ᕫ 10000
Project Endeavour Vs USS,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/10/project_endeavour_vs_uss_square_image.png",Welcome to the Ultraverse,1/110,ᕫ 30000
The Big Raffle,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/1517/square.png",No More Soon,337/400,ᕫ 800
Hero - Grane,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/553/square.jpg",Koakuma - Summon of The Highlord,12/40,ᕫ 450
Scourge - Grave Digger,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/555/square.jpg",Koakuma - Summon of The Highlord,3/50,ᕫ 400
Epic Keycard,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/394/square.png",Elarium Keycards,3/45,ᕫ 725
AstroMust Skin #20,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1750/square.png",M.U.S.T. Collection,1/1,ᕫ 1499
AstroMust Skin #61,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1791/square.png",M.U.S.T. Collection,1/1,ᕫ 1699
Hydra Dagger,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1848/square.png",Agora Genesis,46/80,ᕫ 900
Hydra Dagger,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1848/square.png",Agora Genesis,5/80,ᕫ 899
Hydra Dagger,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factorytoken/1848/square.png",Agora Genesis,42/80,ᕫ 900
Wood Soul,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/36/square.png",Elemental Souls,38/100,ᕫ 4499
Ultra Power #13,"https://res.cloudinary.com/ultraislife/image/upload/w_256,q_auto:eco/f_auto//factory/49/square.png",Ultra's Power Collection,7/30,ᕫ 25000
